koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1,0,1,0,3.18740907,8.97e-05,-8.97e-05,132.8032,0.0207,-0.0207,0.14400000000000002,0.332,-0.14400000000000002,6.19,0.674,-0.674,137.5,17.7,-17.7,0.81,0.07,-0.07,919,168.43,55.76,-44.24,9.2,3,4808,146,-146,4.589,0.045,-0.041,0.715,0.062,-0.062,290.20361,37.774342,16.153
0,0,0,0,30.928898,0.0003253,-0.0003253,153.90646999999996,0.00782,-0.00782,0.7846,0.1712,-0.5434,3.4360000000000004,0.289,-0.289,203.3,26.1,-26.1,8.1,0.74,-1.71,1051,288.95,82.49,-129.97,8.5,1,5029,97,-151,3.237,0.03,-0.03,5.127000000000002,0.468,-1.085,283.97293,42.276588,13.907
0,0,0,0,9.02436414,4e-05,-4e-05,133.54199,0.00346,-0.00346,0.014,0.44,-0.014,3.011,0.105,-0.105,214.6,10.2,-10.2,1.62,0.26,-0.2,939,183.39,81.57,-52.51,23.5,1,5885,105,-117,4.348,0.11,-0.11,1.111,0.17800000000000002,-0.134,290.94449,40.480042,13.642
0,1,0,0,2.071939672,1.1e-07,-1.1e-07,132.8368962,4.13e-05,-4.13e-05,0.8059999999999999,0.015,-0.022,4.45367,0.00169,-0.00169,198770.0,43.5,-43.5,75.64,21.84,-15.86,1696,1953.33,1692.6,-884.76,2409.8,1,6140,182,-200,4.247,0.19,-0.19,1.254,0.362,-0.263,298.68484,46.94997,13.553
0,1,0,0,43.56225858,2.7300000000000006e-05,-2.7300000000000006e-05,153.270753,0.000515,-0.000515,1.295,36.42,-0.116,3.6873,0.0305,-0.0305,51325.0,368.0,-368.0,80.02,25.27,-12.64,624,35.83,32.71,-13.36,163.6,1,6411,162,-194,4.307,0.108,-0.201,1.216,0.384,-0.192,289.26416,47.005989,13.675999999999998
1,0,0,1,0.5667998329999999,2.06e-06,-2.06e-06,131.64094,0.00403,-0.00403,0.851,0.052000000000000005,-0.588,5.542999999999998,0.149,-0.149,198.0,16.7,-16.7,1.27,0.27,-0.11,1900,3084.6,2042.9,-846.32,54.0,1,5488,182,-182,4.584,0.036000000000000004,-0.135,0.789,0.16399999999999998,-0.07,291.28311,42.74185900000001,15.524
0,0,0,0,5.398752862,1.95e-06,-1.95e-06,173.858666,0.000286,-0.000286,0.015,0.34700000000000003,-0.015,3.4303,0.0154,-0.0154,346.5,1.4,-1.4,2.21,0.12,-0.11,1140,398.33,70.22,-58.48,289.6,1,5790,78,-78,4.279,0.03,-0.027000000000000003,1.198,0.067,-0.061,291.03232,49.040272,9.997
0,0,0,0,12.03987488,1.83e-05,-1.83e-05,181.22536,0.00117,-0.00117,0.28600000000000003,0.133,-0.28600000000000003,2.7363,0.0411,-0.0411,1250.6,23.5,-23.5,2.18,0.09,-0.1,502,15.06,2.6,-2.41,57.6,2,4261,85,-85,4.641,0.027000000000000003,-0.02,0.633,0.026,-0.029,293.63696,42.82497,15.019
0,0,0,0,10.54841329,5.47e-05,-5.47e-05,139.06402,0.00411,-0.00411,1.017,0.047,-0.7859999999999999,1.872,0.14300000000000002,-0.14300000000000002,102.9,10.4,-10.4,3.89,0.65,-0.34,899,154.84,72.78,-37.23,11.7,2,6047,120,-133,4.387,0.066,-0.123,1.092,0.181,-0.097,298.09543,44.737061,13.204
0,0,0,0,166.7876551,0.0001312,-0.0001312,245.143036,0.000599,-0.000599,0.041,0.236,-0.041,5.8676,0.0306,-0.0306,4764.2,29.4,-29.4,7.03,1.04,-0.84,334,2.93,1.24,-0.84,183.8,1,5663,112,-112,4.377,0.103,-0.115,1.031,0.152,-0.124,293.30606,41.606369,14.11
0,0,0,0,2.576571021,1.95e-06,-1.95e-06,172.126911,0.000617,-0.000617,0.187,0.096,-0.187,1.5997,0.0187,-0.0187,852.8,14.6,-14.6,1.57,0.09,-0.12,717,62.42,12.91,-13.65,63.6,2,3834,77,-84,4.708,0.045,-0.021,0.539,0.03,-0.041,292.29459,40.591789,15.264
0,0,0,0,2.4376438,1.8e-05,-1.8e-05,132.1228,0.0067,-0.0067,0.112,0.335,-0.112,1.587,0.16399999999999998,-0.16399999999999998,27.1,3.7,-3.7,0.79,0.14,-0.16,1686,1909.13,858.44,-781.22,8.8,1,5927,79,-79,4.117,0.182,-0.098,1.53,0.264,-0.322,287.76895,46.83194,12.66
0,0,0,0,3.13295351,1.02e-05,-1.02e-05,135.67494,0.0025,-0.0025,0.135,0.312,-0.135,2.2207,0.0838,-0.0838,435.2,19.8,-19.8,1.39,0.09,-0.06,937,181.84,42.51,-28.09,23.9,3,5016,100,-100,4.641,0.018000000000000002,-0.053,0.679,0.046,-0.029,290.9343,47.357601,15.644
0,1,0,0,1.88984957,2.2e-06,-2.2e-06,131.910944,0.000948,-0.000948,1.182,0.18600000000000005,-0.118,19.45,0.461,-0.461,249670.0,1217.0,-1217.0,73.04,8.37,-6.83,1221,526.5,209.67,-138.83,401.5,1,5328,160,-144,4.5710000000000015,0.07,-0.063,0.716,0.08199999999999999,-0.067,292.98526,41.716888,13.035
0,0,0,0,3.60082855,1.73e-05,-1.73e-05,134.037,0.00355,-0.00355,0.395,0.064,-0.395,1.938,0.123,-0.123,296.3,19.5,-19.5,1.36,0.04,-0.09,927,174.45,24.19,-32.29,17.9,1,4838,77,-77,4.524,0.063,-0.018000000000000002,0.7959999999999999,0.027000000000000003,-0.054000000000000006,285.17334,48.770039,15.311
0,0,0,0,41.7084063,0.0003158,-0.0003158,153.53793000000005,0.00588,-0.00588,0.6709999999999999,0.052000000000000005,-0.493,8.567,0.189,-0.189,330.0,15.3,-15.3,2.19,0.63,-0.27,608,32.24,26.38,-10.54,24.3,1,6434,144,-208,4.394,0.06,-0.18,1.138,0.33,-0.141,296.10791,39.319908,14.155
0,1,0,0,4.078355243,2.45e-06,-2.45e-06,132.160073,0.0005099999999999999,-0.0005099999999999999,0.368,0.047,-0.033,6.4649,0.0422,-0.0422,36133.0,141.0,-141.0,16.73,4.26,-1.97,1113,362.07,280.03,-115.8,310.0,1,5872,177,-195,4.481,0.091,-0.16899999999999998,0.867,0.221,-0.102,290.89172,44.16885,14.936
